FPOI BLOCk,LAT,LONG
RANNI,9.37652,76.77890
RANNI,9.37997,76.77429
RANNI,9.38565,76.78664
RANNI,9.36779,76.85521
RANNI,9.32951,76.97100
RANNI,9.43143,76.85138
ATHIYANNOOR,8.39648,77.05500
ATHIYANNOOR,8.36032,77.05590
ATHIYANNOOR,8.33460,77.04842
ATHIYANNOOR,8.37262,77.02448
ATHIYANNOOR,8.40398,77.01336
CHIRAYINKEEZHU,8.68126,76.77037
CHIRAYINKEEZHU,8.63589,76.81067
CHIRAYINKEEZHU,8.66184,76.78740
CHIRAYINKEEZHU,8.68125,76.77024
CHIRAYINKEEZHU,8.66202,76.81115
CHIRAYINKEEZHU,8.69043,76.85831
KILIMANOOR,8.77296,76.85555
KILIMANOOR,8.75519,76.85855
KILIMANOOR,8.77939,76.78680
KILIMANOOR,8.82397,76.80923
KILIMANOOR,8.76610,76.87505
NEDUMANGAD,8.63043,77.00744
NEDUMANGAD,8.57023,77.01529
NEDUMANGAD,8.56188,76.98213
NEDUMANGAD,8.66136,76.98683
NEDUMANGAD,8.63331,76.93858
NEMOM,8.42700,77.04227
NEMOM,8.48675,77.03608
NEMOM,8.47185,77.07237
NEMOM,8.51649,77.02136
NEMOM,8.49161,77.02186
PARASSALA,8.38013,77.11984
PARASSALA,8.34178,77.11217
PARASSALA,8.34475,77.15828
PARASSALA,8.31850,77.07060
PARASSALA,8.36194,77.07956
PERUMKADAVILA,8.50595,77.19093
PERUMKADAVILA,8.46888,77.12761
PERUMKADAVILA,8.53173,77.12726
PERUMKADAVILA,8.49119,77.12288
PERUMKADAVILA,8.43675,77.10797
PERUMKADAVILA,8.43101,77.19688
POTHENCODE,8.58845,76.85200
POTHENCODE,8.62369,76.84869
VAMANAPURAM,8.75015,76.93893
VAMANAPURAM,8.66153,76.91781
VAMANAPURAM,8.70214,77.02774
VAMANAPURAM,8.76540,76.96178
VAMANAPURAM,8.72460,77.04277
VAMANAPURAM,8.67988,76.94135
VARKALA,8.72657,76.75316
VARKALA,8.76448,76.69619
VARKALA,8.77654,76.72507
VARKALA,8.71956,76.77935
VELLANAD,8.58444,77.08649
VELLANAD,8.50785,77.08140
VELLANAD,8.56609,77.09978
VELLANAD,8.53611,77.08671
VELLANAD,8.56407,77.05443
VELLANAD,8.67094,77.08249
ANTHIKKAD,10.45776,76.12148
ANTHIKKAD,10.49752,76.14862
ANTHIKKAD,10.41113,76.16656
ANTHIKKAD,10.47465,76.10223
ANTHIKKAD,10.41433,76.11137
CHALAKKUDY,10.27006,76.31106
CHALAKKUDY,10.26443,76.35054
CHALAKKUDY,10.29366,76.35292
CHALAKKUDY,10.31990,76.37068
CHAVAKKAD,10.53802,76.02918
CHAVAKKAD,10.59316,76.02916
CHAVAKKAD,10.66179,76.00361
CHAVAKKAD,10.67167,75.99759
CHAVAKKAD,10.64106,76.01530
CHERPU,10.46943,76.22971
CHERPU,10.44501,76.21338
CHERPU,10.46627,76.18485
CHERPU,10.44213,76.21715
CHOWANNUR,10.61846,76.11991
