FPOI BLOCk,LAT,LONG
BHEEMGAL,18.656576,78.481695
BHEEMGAL,18.657984,78.418324
BHEEMGAL,18.674170,78.442489
BHEEMGAL,18.702027,78.458318
BHEEMGAL,18.703027,78.448247
BHEEMGAL,18.703425,78.462690
BHEEMGAL,18.709829,78.471894
BHEEMGAL,18.711011,78.551291
BHEEMGAL,18.715315,78.516140
BHEEMGAL,18.717508,78.539378
BHEEMGAL,18.729924,78.521701
BHEEMGAL,18.732513,78.506797
BHEEMGAL,18.735144,78.446606
BHEEMGAL,18.744284,78.444795
BHIKNUR,18.117380,78.463957
BHIKNUR,18.122970,78.482923
BHIKNUR,18.158279,78.408547
BHIKNUR,18.161500,78.390207
BHIKNUR,18.174494,78.461477
BHIKNUR,18.185950,78.398350
BHIKNUR,18.189094,78.390480
BHIKNUR,18.189345,78.399449
BHIKNUR,18.192827,78.400019
BHIKNUR,18.193302,78.453771
BHIKNUR,18.224569,78.390396
BHIKNUR,18.239365,78.359273
BHIKNUR,18.239508,78.353880
BHIKNUR,18.242394,78.380986
BICHKUNDA,18.386465,77.793178
BICHKUNDA,18.401857,77.707415
BICHKUNDA,18.330993,77.719179
BICHKUNDA,18.265482,77.757460
BICHKUNDA,18.276432,77.762015
BICHKUNDA,18.276480,77.773540
BICHKUNDA,18.289739,77.758536
BICHKUNDA,18.295334,77.745072
BICHKUNDA,18.330374,77.730959
BICHKUNDA,18.341137,77.713346
BICHKUNDA,18.365436,77.807310
BICHKUNDA,18.369115,77.741332
BICHKUNDA,18.370736,77.740737
BICHKUNDA,18.392655,77.674485
BICHKUNDA,18.392862,77.733764
BICHKUNDA,18.400100,77.723426
BICHKUNDA,18.400687,77.771141
BICHKUNDA,18.400921,77.728467
BICHKUNDA,18.401057,77.701060
BICHKUNDA,18.406256,77.756666
BICHKUNDA,18.421788,77.762105
BICHKUNDA,18.429198,77.712539
BICHKUNDA,18.458957,77.727468
BICHKUNDA,18.481030,77.736777
BICHKUNDA,18.481314,77.736543
BIRKOOR,18.465533,77.803411
BIRKOOR,18.415488,77.830597
BIRKOOR,18.424143,77.873910
BIRKOOR,18.440122,77.841703
BIRKOOR,18.445332,77.879605
BIRKOOR,18.448029,77.904430
BIRKOOR,18.462298,77.801944
BIRKOOR,18.463740,77.829913
BIRKOOR,18.476024,77.870164
BIRKOOR,18.477682,77.869911
BIRKOOR,18.490815,77.844667
BIRKOOR,18.505312,77.801677
BODHAN,18.651896,77.893712
BODHAN,18.682338,77.901230
BODHAN,18.594118,77.917275
BODHAN,18.594226,77.917117
BODHAN,18.601967,77.914496
BODHAN,18.628149,77.939835
BODHAN,18.642349,77.915175
BODHAN,18.657307,77.927901
BODHAN,18.658642,77.831676
BODHAN,18.659154,77.842384
BODHAN,18.661591,77.875160
BODHAN,18.664830,77.898750
BODHAN,18.668753,77.841294
BODHAN,18.671399,77.778835
BODHAN,18.672608,77.784521
BODHAN,18.674450,77.903800
BODHAN,18.676466,77.853709
BODHAN,18.678813,77.845138
