FPOI BLOCk,LAT,LONG,LAT1,LONG1
THALLADA,17.125433,80.431685,17.23693,80.45960
THALLADA,17.141275,80.445780,17.19601,80.43753
THALLADA,17.142806,80.441800,17.28179,80.45124
THALLADA,17.169940,80.457983,17.11679,80.44989
THALLADA,17.183388,80.466813,17.16196,80.42687
THALLADA,17.193752,80.507580,17.20276,80.39988
THALLADA,17.197875,80.406264,17.25037,80.46632
THALLADA,17.200634,80.485270,17.12543,80.43169
THALLADA,17.201385,80.481741,17.15918,80.47217
THALLADA,17.205767,80.472215,17.22479,80.41614
THALLADA,17.216222,80.461330,17.18410,80.46341
THALLADA,17.217037,80.422660,17.14036,80.44717
THALLADA,17.218384,80.422714,17.20139,80.48174
THALLADA,17.219564,80.453943,17.17697,80.41272
THALLADA,17.236930,80.459598,17.16994,80.45798
THALLADA,17.260409,80.435440,17.19948,80.51043
THIRUMALAYAPALEM,17.340528,79.958016,17.30246,79.90053
THIRUMALAYAPALEM,17.290240,79.856731,17.30351,79.89002
THIRUMALAYAPALEM,17.295455,80.031982,17.30453,79.94193
THIRUMALAYAPALEM,17.299588,79.863876,17.36162,79.93758
THIRUMALAYAPALEM,17.300001,79.862198,17.32471,79.97130
THIRUMALAYAPALEM,17.301802,79.896360,17.33396,80.02104
THIRUMALAYAPALEM,17.302133,79.890291,17.27983,80.01812
THIRUMALAYAPALEM,17.305095,79.930763,17.34321,79.95917
THIRUMALAYAPALEM,17.309016,80.033504,17.32755,79.90289
