FPOI BLOCk,LAT,LONG,LAT,LONG
PALLOM,9.49498,76.52767,9.58117,76.47785
PALLOM,9.52955,76.53927,9.52902,76.54128
PALLOM,9.55733,76.57217,9.55513,76.57235
PAMPADY,9.62675,76.67370,9.63527,76.60513
PAMPADY,9.59782,76.64675,9.59143,76.56458
PAMPADY,9.58660,76.58352,9.62715,76.67353
PAMPADY,9.54995,76.60868,9.59707,76.64742
PAMPADY,9.60230,76.68317,9.58802,76.58317
PAMPADY,9.56755,76.63937,9.54902,76.60708
UZHAVOOR,9.71597,76.55927,9.71490,76.60888
UZHAVOOR,9.75495,76.56150,9.71602,76.55897
UZHAVOOR,9.74273,76.61148,9.75752,76.56053
UZHAVOOR,9.79900,76.66450,9.74268,76.61192
UZHAVOOR,9.79190,76.61065,9.80245,76.66182
UZHAVOOR,9.82863,76.60705,9.79183,76.61067
UZHAVOOR,9.68407,76.60652,9.82180,76.60843
VAIKOM,9.72145,76.41622,9.81533,76.42365
VAIKOM,9.70740,76.39170,9.79388,76.41800
VAIKOM,9.76783,76.41680,9.71538,76.41723
VAIKOM,9.68845,76.42012,9.71188,76.39213
VAIKOM,9.82618,76.42902,9.76572,76.41498
VAZHOOR,9.56405,76.75750,9.56313,76.76205
VAZHOOR,9.50070,76.63735,9.50935,76.69237
VAZHOOR,9.50792,76.66292,9.50937,76.66597
VAZHOOR,9.56643,76.70233,9.56650,76.70672
BALUSSERI,11.44623,75.84451,11.45503,75.84259
BALUSSERI,11.44628,75.83499,11.44757,75.82987
BALUSSERI,11.49668,75.81402,11.49563,75.81622
BALUSSERI,11.48506,75.77521,11.48572,75.77605
BALUSSERI,11.45019,75.77129,11.45057,75.77261
BALUSSERI,11.54002,75.84276,11.54018,75.84299
BALUSSERI,11.44335,75.87791,11.44290,75.88058
CHELANNUR,11.35676,75.80733,11.35693,75.80449
CHELANNUR,11.41843,75.83135,11.42192,75.83141
CHELANNUR,11.37069,75.86475,11.36720,75.86392
CHELANNUR,11.35170,75.76138,11.35310,75.75916
CHELANNUR,11.31314,75.79935,11.31372,75.79839
CHELANNUR,11.38404,75.82119,11.38642,75.82375
KODUVALLY,11.36287,75.90977,11.36144,75.91035
KODUVALLY,11.36570,75.96351,11.36374,75.96454
KODUVALLY,11.36128,76.01193,11.36372,76.01025
KODUVALLY,11.34795,76.03899,11.34817,76.03608
KODUVALLY,11.43207,76.00477,11.48004,75.97432
KODUVALLY,11.48001,75.97413,11.40963,75.93649
KODUVALLY,11.40956,75.93529,11.48700,75.91338
KODUVALLY,11.48615,75.91441,11.37229,75.88972
KODUVALLY,11.36045,75.88890,11.35540,75.86907
KOZHIKODE,11.22855,75.83228,11.22854,75.83302
KOZHIKODE,11.17780,75.86715,11.17879,75.86984
KOZHIKODE,11.17698,75.83180,11.17937,75.83293
KUNNAMANGALAM,11.31869,75.94004,11.43103,76.00676
KUNNAMANGALAM,11.26449,75.89254,11.31832,75.94547
KUNNAMANGALAM,11.26052,75.95313,11.26430,75.88890
KUNNAMANGALAM,11.32149,75.99329,11.26092,75.95198
KUNNAMANGALAM,11.30777,75.88072,11.28442,75.98728
KUNNAMANGALAM,11.31859,75.85149,11.32113,75.99709
KUNNAMANGALAM,11.31668,75.99790,11.31657,75.99786
KUNNAMANGALAM,11.24209,75.88132,11.30510,75.87842
KUNNUMMAL,11.67634,75.70155,11.67711,75.70029
KUNNUMMAL,11.65584,75.74798,11.70864,75.72232
KUNNUMMAL,11.66792,75.75394,11.65518,75.74936
KUNNUMMAL,11.67802,75.78130,11.66755,75.75328
KUNNUMMAL,11.64157,75.80608,11.67716,75.77903
KUNNUMMAL,11.62036,75.70722,11.64242,75.80384
MELDAY,11.49592,75.62711,11.49495,75.62721
MELDAY,11.51157,75.62208,11.51533,75.62183
MELDAY,11.52639,75.65611,11.52657,75.65598
MELDAY,11.53222,75.71305,11.53065,75.71102
PANTHALAYANI,11.39810,75.72518,11.39431,75.72719
PANTHALAYANI,11.42088,75.71211,11.42257,75.71240
PANTHALAYANI,11.47098,75.64931,11.47038,75.65240
PANTHALAYANI,11.48693,75.71514,11.49247,75.71650
PERAMBRA,11.58739,75.76552,11.58731,75.76554
PERAMBRA,11.55906,75.75523,11.59995,75.76506
PERAMBRA,11.56391,75.71021,11.55872,75.75800
PERAMBRA,11.53735,75.77045,11.56398,75.71082
THODANNUR,11.55213,75.64146,11.55449,75.64196
THODANNUR,11.58669,75.67433,11.64625,75.66491
THODANNUR,11.62579,75.62813,11.58856,75.67352
THUNERI,11.66075,75.61442,11.66128,75.61514
THUNERI,11.71819,75.69843,11.71876,75.69863
THUNERI,11.72880,75.67391,11.72943,75.67436
THUNERI,11.72616,75.63573,11.72865,75.63877
THUNERI,11.70721,75.63446,11.70862,75.63435
THUNERI,11.67413,75.63330,11.67131,75.63498
VADAKARA,11.62429,75.57822,11.62441,75.62704
VADAKARA,11.64901,75.56432,11.62533,75.57822
VADAKARA,11.65341,75.60259,11.65087,75.56264
VADAKARA,11.68652,75.54400,11.68811,75.54280
AREAKODE,11.23196,76.05367,11.23451,76.05001
AREAKODE,11.21602,76.00365,11.21405,75.98621
AREAKODE,11.21626,76.14128,11.19691,76.06502
AREAKODE,11.19668,76.06388,11.24891,76.02349
AREAKODE,11.25012,76.02282,11.17896,76.00269
AREAKODE,11.17775,76.00238,11.15839,76.06194
AREAKODE,11.15822,76.06046,11.24770,76.05003
AREAKODE,11.24806,76.05053,11.19921,75.98194
KALIKAVU,11.24429,76.30436,11.24395,76.29854
KALIKAVU,11.22129,76.33374,11.22696,76.32876
KALIKAVU,11.07500,76.28130,11.07440,76.28880
KALIKAVU,11.16892,76.31968,11.17090,76.31856
KALIKAVU,11.28745,76.29624,11.28397,76.29669
KALIKAVU,11.11942,76.33596,11.12494,76.33796
KALIKAVU,11.11197,76.28370,11.11511,76.28483
KONDOTTY,11.17364,75.91762,11.17217,75.91782
KONDOTTY,11.15210,75.95867,11.15226,75.95562
KONDOTTY,11.18991,75.96725,11.14230,75.97252
KONDOTTY,11.14245,75.97062,11.16944,75.92659
KONDOTTY,11.16906,75.92687,11.24625,75.95168
KONDOTTY,11.24786,75.94901,11.20720,75.87699
KUTTIPPURAM,10.90447,76.09793,10.92246,76.03389
KUTTIPPURAM,10.87879,76.10117,10.90492,76.09740
KUTTIPPURAM,10.93471,75.99635,10.87335,76.10110
KUTTIPPURAM,10.84640,76.03554,10.84720,76.03615
KUTTIPPURAM,10.94155,76.04190,10.95096,76.03405
KUTTIPPURAM,10.89062,76.07004,10.89034,76.07048
MALAPPURAM,11.08692,76.12160,11.08944,76.12028
MALAPPURAM,11.02285,76.06818,11.00100,76.05658
MALAPPURAM,11.13386,76.01503,11.10485,76.05910
MALAPPURAM,11.02591,76.02869,11.06325,76.01538
MALAPPURAM,10.99892,76.05711,11.05027,75.98460
MANKADA,11.06104,76.12569,11.01986,76.07394
MANKADA,10.98537,76.10853,11.05641,76.10925
MANKADA,11.03696,76.16074,10.98598,76.10785
MANKADA,10.92366,76.12890,11.01833,76.12084
MANKADA,10.97742,76.15704,11.03728,76.16072
MANKADA,11.02146,76.11942,10.92719,76.13337
NILAMBUR,11.31171,76.20845,11.31370,76.20585
NILAMBUR,11.33473,76.27581,11.33632,76.27695
NILAMBUR,11.35898,76.30693,11.35940,76.30699
NILAMBUR,11.32626,76.33222,11.32565,76.33190
NILAMBUR,11.40253,76.25309,11.40444,76.25147
NILAMBUR,11.37649,76.33717,11.38054,76.34153
