S.no,FPOI ,LAT,LONG,GPs connected,
426,PERAMBRA,11.55906,75.75523,1,
427,PERAMBRA,11.56391,75.71021,1,
428,PERAMBRA,11.53735,75.77045,4,
429,THODANNUR,11.55213,75.64146,1,
430,THODANNUR,11.58669,75.67433,1,
431,THODANNUR,11.62579,75.62813,1,
432,THUNERI,11.66075,75.61442,1,
433,THUNERI,11.71819,75.69843,1,
434,THUNERI,11.72880,75.67391,1,
435,THUNERI,11.72616,75.63573,1,
436,THUNERI,11.70721,75.63446,1,
437,THUNERI,11.67413,75.63330,1,
438,VADAKARA,11.62429,75.57822,1,
439,VADAKARA,11.64901,75.56432,1,
440,VADAKARA,11.65341,75.60259,1,
441,VADAKARA,11.68652,75.54400,2,
442,AREAKODE,11.23196,76.05367,1,
443,AREAKODE,11.21602,76.00365,1,
444,AREAKODE,11.21626,76.14128,1,
445,AREAKODE,11.19668,76.06388,1,
446,AREAKODE,11.25012,76.02282,1,
447,AREAKODE,11.17775,76.00238,1,
448,AREAKODE,11.15822,76.06046,1,
449,AREAKODE,11.24806,76.05053,1,
450,KALIKAVU,11.24429,76.30436,1,
451,KALIKAVU,11.22129,76.33374,1,
452,KALIKAVU,11.07500,76.28130,1,
453,KALIKAVU,11.16892,76.31968,1,
454,KALIKAVU,11.28745,76.29624,1,
455,KALIKAVU,11.11942,76.33596,1,
456,KALIKAVU,11.11197,76.28370,1,
457,KONDOTTY,11.17364,75.91762,1,
458,KONDOTTY,11.15210,75.95867,1,
459,KONDOTTY,11.18991,75.96725,1,
460,KONDOTTY,11.14245,75.97062,1,
461,KONDOTTY,11.16906,75.92687,1,
462,KONDOTTY,11.24786,75.94901,4,
463,KUTTIPPURAM,10.90447,76.09793,1,
464,KUTTIPPURAM,10.87879,76.10117,1,
465,KUTTIPPURAM,10.93471,75.99635,1,
466,KUTTIPPURAM,10.84640,76.03554,1,
467,KUTTIPPURAM,10.94155,76.04190,1,
468,KUTTIPPURAM,10.89062,76.07004,1,
469,MALAPPURAM,11.08692,76.12160,1,
470,MALAPPURAM,11.02285,76.06818,1,
471,MALAPPURAM,11.13386,76.01503,1,
472,MALAPPURAM,11.02591,76.02869,1,
473,MALAPPURAM,10.99892,76.05711,1,
474,MANKADA,11.06104,76.12569,1,
475,MANKADA,10.98537,76.10853,1,
476,MANKADA,11.03696,76.16074,1,
477,MANKADA,10.92366,76.12890,1,
478,MANKADA,10.97742,76.15704,1,
479,MANKADA,11.02146,76.11942,3,
480,NILAMBUR,11.31171,76.20845,1,
481,NILAMBUR,11.33473,76.27581,1,
482,NILAMBUR,11.35898,76.30693,1,
483,NILAMBUR,11.32626,76.33222,1,
484,NILAMBUR,11.40253,76.25309,1,
485,NILAMBUR,11.37649,76.33717,1,
486,PERINTHALMANNA,10.93323,76.28060,1,
487,PERINTHALMANNA,10.97788,76.20449,1,
